length	gc
ENSG00000154380	166312	0.386
ENSG00000154429	21937	0.431
ENSG00000154447	176843	0.393
ENSG00000154473	11127	0.384
ENSG00000154479	48997	0.387
ENSG00000154511	128794	0.394
ENSG00000154518	5505	0.4
ENSG00000154529	237589	0.383
ENSG00000154545	NA	NA
ENSG00000154553	34898	0.4
ENSG00000154556	371273	0.404
ENSG00000154582	27150	0.407
ENSG00000154589	37744	0.42
ENSG00000154608	37865	0.359
ENSG00000154640	19301	0.377
ENSG00000154642	30420	0.372
ENSG00000154654	541885	0.341
ENSG00000154678	545752	0.397
ENSG00000154710	182581	0.455
ENSG00000154719	21834	0.379
ENSG00000154721	78281	0.397
ENSG00000154723	11175	0.424
ENSG00000154727	37514	0.364
ENSG00000154734	9123	0.458
ENSG00000154736	49209	0.385
ENSG00000154743	55192	0.432
ENSG00000154760	13742	0.417
ENSG00000154767	33525	0.452
ENSG00000154781	20914	0.423
ENSG00000154783	115604	0.484
ENSG00000154803	24976	0.533
ENSG00000154813	7929	0.404
ENSG00000154814	72202	0.418
ENSG00000154822	287940	0.391
ENSG00000154832	5980	0.593
ENSG00000154839	19147	0.394
ENSG00000154845	67817	0.388
ENSG00000154856	34074	0.461
ENSG00000154864	478518	0.41
ENSG00000154874	87816	0.383
ENSG00000154889	25325	0.458
ENSG00000154898	NA	NA
ENSG00000154917	71612	0.496
ENSG00000154930	51953	0.518
ENSG00000154945	14720	0.445
ENSG00000154957	20024	0.416
ENSG00000154978	101895	0.471
ENSG00000155008	89426	0.371
ENSG00000155011	361888	0.36
ENSG00000155016	21897	0.402
ENSG00000155034	37972	0.557
ENSG00000155066	16855	0.589
ENSG00000155085	198357	0.383
ENSG00000155090	6979	0.479
ENSG00000155093	1048733	0.514
ENSG00000155096	37862	0.394
ENSG00000155097	52038	0.384
ENSG00000155099	46702	0.356
ENSG00000155100	16900	0.349
ENSG00000155111	205657	0.398
ENSG00000155115	9329	0.454
ENSG00000155130	6126	0.485
ENSG00000155158	136517	0.403
ENSG00000155189	53144	0.384
ENSG00000155229	40433	0.449
ENSG00000155252	92086	0.464
ENSG00000155254	4445	0.564
ENSG00000155256	23787	0.485
ENSG00000155275	54655	0.494
ENSG00000155287	48720	0.423
ENSG00000155304	12073	0.361
ENSG00000155313	149882	0.354
ENSG00000155324	134066	0.39
ENSG00000155329	29563	0.427
ENSG00000155330	29116	0.37
ENSG00000155363	26321	0.489
ENSG00000155366	6277	0.571
ENSG00000155368	5619	0.504
ENSG00000155380	44506	0.404
ENSG00000155393	39495	0.427
ENSG00000155428	NA	NA
ENSG00000155438	9983	0.43
ENSG00000155463	5268	0.465
ENSG00000155465	46589	0.469
ENSG00000155506	104706	0.465
ENSG00000155508	18544	0.434
ENSG00000155511	324255	0.412
ENSG00000155542	16273	0.386
ENSG00000155545	52074	0.389
ENSG00000155561	90838	0.39
ENSG00000155592	21534	0.426
ENSG00000155621	72968	0.385
ENSG00000155629	127211	0.444
ENSG00000155636	17201	0.369
ENSG00000155640	4545	0.457
ENSG00000155657	281434	0.378
ENSG00000155660	25629	0.509
ENSG00000155666	18283	0.519
ENSG00000155729	21109	0.401
ENSG00000155744	97952	0.392
ENSG00000155749	68975	0.409
ENSG00000155754	131762	0.378
ENSG00000155755	23346	0.388
ENSG00000155760	3851	0.528
ENSG00000155792	177258	0.432
ENSG00000155816	383305	0.391
ENSG00000155827	29494	0.382
ENSG00000155849	596385	0.417
ENSG00000155850	26664	0.409
ENSG00000155858	12992	0.443
ENSG00000155868	4471	0.449
ENSG00000155876	1650	0.519
ENSG00000155893	62805	0.461
ENSG00000155897	260289	0.404
ENSG00000155903	125272	0.364
ENSG00000155906	47420	0.423
ENSG00000155957	33091	0.38
ENSG00000155959	23398	0.4
ENSG00000155962	58487	0.384
ENSG00000155970	95402	0.36
ENSG00000155975	51133	0.37
ENSG00000155980	34708	0.477
ENSG00000155984	35272	0.426
ENSG00000156011	486384	0.397
ENSG00000156017	45438	0.379
ENSG00000156026	195564	0.388
ENSG00000156030	72072	0.514
ENSG00000156042	105102	0.399
ENSG00000156049	225238	0.422
ENSG00000156050	17423	0.472
ENSG00000156052	311029	0.392
ENSG00000156103	290258	0.351
ENSG00000156110	558119	0.374
ENSG00000156113	768219	0.439
ENSG00000156136	37365	0.386
ENSG00000156140	287831	0.358
ENSG00000156162	73974	0.4
ENSG00000156170	118161	0.422
ENSG00000156171	22885	0.379
ENSG00000156172	24322	0.374
ENSG00000156232	25641	0.413
ENSG00000156239	13183	0.386
ENSG00000156253	13606	0.458
ENSG00000156256	29870	0.388
ENSG00000156261	17363	0.382
ENSG00000156265	98391	0.405
ENSG00000156273	62998	0.401
ENSG00000156304	61119	0.381
ENSG00000156313	58366	0.376
ENSG00000156345	8337	0.532
ENSG00000156374	48339	0.439
ENSG00000156381	2931	0.694
ENSG00000156384	4328	0.38
ENSG00000156398	24649	0.49
ENSG00000156411	9279	0.477
ENSG00000156414	124188	0.427
ENSG00000156427	37964	0.549
ENSG00000156453	25272	0.544
ENSG00000156463	145211	0.422
ENSG00000156467	8959	0.383
ENSG00000156469	22152	0.387
ENSG00000156471	72608	0.436
ENSG00000156482	20740	0.42
ENSG00000156486	3774	0.566
ENSG00000156500	58199	0.417
ENSG00000156502	28857	0.418
ENSG00000156504	27667	0.402
ENSG00000156508	5283	0.442
ENSG00000156515	131882	0.476
ENSG00000156521	8760	0.533
ENSG00000156531	55481	0.374
ENSG00000156535	132534	0.386
ENSG00000156587	16676	0.487
ENSG00000156599	33186	0.452
ENSG00000156603	8492	0.456
ENSG00000156639	335093	0.392
ENSG00000156642	73410	0.411
ENSG00000156650	206210	0.405
ENSG00000156671	70489	0.411
ENSG00000156675	40551	0.458
ENSG00000156689	10458	0.37
ENSG00000156697	23642	0.451
ENSG00000156709	36524	0.43
ENSG00000156711	14041	0.533
ENSG00000156735	36714	0.418
ENSG00000156787	79473	0.387
ENSG00000156795	25296	0.454
ENSG00000156802	96500	0.406
ENSG00000156804	43367	0.441
ENSG00000156831	275285	0.399
ENSG00000156853	8218	0.516
ENSG00000156858	5494	0.578
ENSG00000156860	10889	0.582
ENSG00000156869	57091	0.38
ENSG00000156873	12878	0.526
ENSG00000156875	45141	0.394
ENSG00000156876	49410	0.365
ENSG00000156928	10241	0.425
ENSG00000156931	240472	0.385
ENSG00000156958	174027	0.383
ENSG00000156970	60128	0.387
ENSG00000156973	48828	0.422
ENSG00000156976	6325	0.41
ENSG00000156983	16266	0.516
ENSG00000156990	6170	0.525
ENSG00000157014	37361	0.468
ENSG00000157020	20244	0.477
ENSG00000157021	NA	NA
ENSG00000157036	30034	0.39
ENSG00000157045	18227	0.476
ENSG00000157064	170263	0.444
ENSG00000157077	204593	0.408
ENSG00000157106	121552	0.399
ENSG00000157107	134542	0.37
ENSG00000157110	187791	0.422
ENSG00000157111	11257	0.47
ENSG00000157150	6284	0.49
ENSG00000157152	187671	0.41
ENSG00000157168	1125648	0.379
ENSG00000157181	45614	0.352
ENSG00000157184	17769	0.447
ENSG00000157191	19418	0.494
ENSG00000157193	85781	0.518
ENSG00000157212	59283	0.407
ENSG00000157214	70089	0.375
ENSG00000157216	180965	0.509
ENSG00000157224	32234	0.379
ENSG00000157227	11011	0.573
ENSG00000157240	4350	0.564
ENSG00000157259	12620	0.419
ENSG00000157306	47822	0.522
ENSG00000157326	52653	0.443
ENSG00000157343	11830	0.468
ENSG00000157349	44066	0.455
ENSG00000157350	59654	0.519
ENSG00000157353	25680	0.552
ENSG00000157368	80788	0.485
ENSG00000157379	9236	0.48
ENSG00000157399	33614	0.458
ENSG00000157404	82787	0.409
ENSG00000157423	423339	0.411
ENSG00000157426	49182	0.39
ENSG00000157429	15279	0.442
ENSG00000157445	951892	0.422
ENSG00000157450	109754	0.383
ENSG00000157456	19961	0.426
ENSG00000157483	236904	0.435
ENSG00000157500	45734	0.374
ENSG00000157510	69967	0.463
ENSG00000157514	62751	0.486
ENSG00000157538	44108	0.44
ENSG00000157540	147821	0.384
ENSG00000157542	291957	0.439
ENSG00000157557	19648	0.46
ENSG00000157570	168002	0.504
ENSG00000157578	39901	0.412
ENSG00000157593	3446	0.571
ENSG00000157600	175154	0.418
ENSG00000157601	38622	0.469
ENSG00000157613	43745	0.528
ENSG00000157617	68781	0.479
ENSG00000157625	147643	0.39
ENSG00000157637	50298	0.567
ENSG00000157653	18945	0.427
ENSG00000157657	180314	0.456
ENSG00000157680	457225	0.392
ENSG00000157693	34998	0.475
ENSG00000157734	5765	0.581
ENSG00000157741	76752	0.388
ENSG00000157764	190752	0.38
ENSG00000157766	71912	0.503
ENSG00000157778	2699	0.555
ENSG00000157796	103407	0.393
ENSG00000157800	64760	0.452
ENSG00000157823	63787	0.444
ENSG00000157827	314598	0.406
ENSG00000157833	16573	0.584
ENSG00000157837	141843	0.409
ENSG00000157869	116643	0.359
ENSG00000157870	5010	0.647
ENSG00000157873	7463	0.643
ENSG00000157881	18061	0.607
ENSG00000157895	13453	0.481
ENSG00000157911	7770	0.607
ENSG00000157916	13672	0.539
ENSG00000157927	89051	0.53
ENSG00000157933	81519	0.575
ENSG00000157954	43652	0.482
ENSG00000157978	25302	0.546
ENSG00000157985	637712	0.473
ENSG00000157999	5177	0.463
ENSG00000158006	38391	0.457
ENSG00000158008	14684	0.555
ENSG00000158019	448286	0.394
ENSG00000158023	85370	0.465
ENSG00000158042	3017	0.478
ENSG00000158062	35984	0.531
ENSG00000158079	79063	0.394
ENSG00000158089	244738	0.463
ENSG00000158092	86919	0.395
ENSG00000158104	49085	0.492
ENSG00000158109	5139	0.523
ENSG00000158113	35753	0.505
ENSG00000158122	14067	0.436
ENSG00000158125	80424	0.429
ENSG00000158156	8101	0.55
ENSG00000158158	50990	0.502
ENSG00000158161	118294	0.395
ENSG00000158163	53625	0.457
ENSG00000158169	218656	0.414
ENSG00000158186	57888	0.485
ENSG00000158195	85945	0.44
ENSG00000158201	53909	0.425
ENSG00000158234	24672	0.404
ENSG00000158246	7823	0.555
ENSG00000158258	632893	0.427
ENSG00000158270	181375	0.431
ENSG00000158286	15171	0.57
ENSG00000158290	51239	0.393
ENSG00000158292	13630	0.603
ENSG00000158296	126663	0.451
ENSG00000158301	5558	0.515
ENSG00000158315	55978	0.446
ENSG00000158321	1193981	0.411
ENSG00000158352	222402	0.401
ENSG00000158373	13228	0.422
ENSG00000158406	374	0.54
ENSG00000158411	11767	0.391
ENSG00000158417	62895	0.386
ENSG00000158423	8259	0.486
ENSG00000158427	47085	0.417
ENSG00000158435	17434	0.432
ENSG00000158445	111986	0.484
ENSG00000158467	205198	0.4
ENSG00000158470	80939	0.423
ENSG00000158480	12152	0.523
ENSG00000158482	NA	NA
ENSG00000158483	13724	0.53
ENSG00000158526	4879	0.475
ENSG00000158528	388779	0.364
ENSG00000158545	61584	0.517
ENSG00000158552	2868	0.562
ENSG00000158555	90915	0.533
ENSG00000158604	3066	0.512
ENSG00000158615	8453	0.404
ENSG00000158623	207519	0.207
ENSG00000158636	106521	0.377
ENSG00000158669	46814	0.454
ENSG00000158691	20947	0.411
ENSG00000158710	7436	0.564
ENSG00000158711	82936	0.463
ENSG00000158715	56827	0.487
ENSG00000158716	1575	0.589
ENSG00000158717	9927	0.625
ENSG00000158747	15227	0.581
ENSG00000158769	43774	0.471
ENSG00000158773	6729	0.507
ENSG00000158792	5357	0.627
ENSG00000158793	7374	0.492
ENSG00000158796	11710	0.464
ENSG00000158805	20525	0.566
ENSG00000158806	12764	0.484
ENSG00000158813	423411	0.387
ENSG00000158825	29957	0.485
ENSG00000158828	18057	0.508
ENSG00000158850	6659	0.523
ENSG00000158856	28956	0.545
ENSG00000158859	9308	0.546
ENSG00000158863	15178	0.573
ENSG00000158864	15080	0.482
ENSG00000158882	17257	0.487
ENSG00000158887	5238	0.505
ENSG00000158941	15839	0.503
ENSG00000158966	222266	0.399
ENSG00000158985	130681	0.396
ENSG00000158987	373143	0.379
ENSG00000159023	232956	0.419
ENSG00000159055	10847	0.407
ENSG00000159063	38712	0.421
ENSG00000159069	4322	0.69
ENSG00000159079	30409	0.475
ENSG00000159082	99283	0.381
ENSG00000159086	37960	0.381
ENSG00000159110	34590	0.441
ENSG00000159111	8270	0.492
ENSG00000159128	34627	0.477
ENSG00000159131	38961	0.413
ENSG00000159140	34463	0.387
ENSG00000159147	336921	0.422
ENSG00000159164	14563	0.522
ENSG00000159167	12887	0.438
ENSG00000159176	23730	0.506
ENSG00000159199	3085	0.501
ENSG00000159200	98599	0.443
ENSG00000159202	20692	0.474
ENSG00000159208	4549	0.475
ENSG00000159210	14696	0.469
ENSG00000159212	48832	0.457
ENSG00000159214	4919	0.576
ENSG00000159216	1196950	0.415
ENSG00000159217	58734	0.473
ENSG00000159228	3180	0.501
ENSG00000159231	11598	0.486
ENSG00000159239	3542	0.587
ENSG00000159256	56458	0.418
ENSG00000159259	31437	0.467
ENSG00000159263	50520	0.508
ENSG00000159267	239357	0.444
ENSG00000159307	140166	0.554
ENSG00000159314	NA	NA
ENSG00000159322	32419	0.43
ENSG00000159335	4578	0.622
ENSG00000159346	17741	0.443
ENSG00000159348	5404	0.503
ENSG00000159352	12758	0.476
ENSG00000159363	25971	0.572
ENSG00000159377	2372	0.492
ENSG00000159388	4066	0.532
ENSG00000159399	60700	0.477
ENSG00000159403	57529	0.07
ENSG00000159423	31370	0.55
ENSG00000159433	145340	0.435
ENSG00000159445	39019	0.424
ENSG00000159459	163189	0.398
ENSG00000159461	64087	0.422
ENSG00000159479	5905	0.468
ENSG00000159496	8403	0.563
ENSG00000159556	5670	0.595
ENSG00000159579	52707	0.418
ENSG00000159592	59327	0.408
ENSG00000159593	28099	0.41
ENSG00000159596	6262	0.438
ENSG00000159640	44782	0.545
ENSG00000159658	60378	0.416
ENSG00000159674	42030	0.537
ENSG00000159685	256201	0.462
ENSG00000159692	37681	0.607
ENSG00000159713	3710	0.612
ENSG00000159714	22018	0.553
ENSG00000159720	43173	0.538
ENSG00000159733	149047	0.525
ENSG00000159761	1945	0.644
ENSG00000159784	9348	0.55
ENSG00000159788	146886	0.51
ENSG00000159792	36407	0.523
ENSG00000159840	29397	0.522
ENSG00000159842	183859	0.562
ENSG00000159860	NA	NA
ENSG00000159871	24730	0.47
ENSG00000159873	16622	0.443
ENSG00000159882	10996	0.409
ENSG00000159884	3214	0.529
ENSG00000159885	7769	0.421
ENSG00000159899	17323	0.48
ENSG00000159904	23237	0.499
ENSG00000159905	16356	0.412
ENSG00000159915	15438	0.422
ENSG00000159917	76822	0.395
ENSG00000159921	62615	0.438
ENSG00000160007	86401	0.48
ENSG00000160013	4630	0.59
ENSG00000160014	9528	0.571
ENSG00000160049	12011	0.497
ENSG00000160050	4790	0.548
ENSG00000160051	3053	0.555
ENSG00000160055	7849	0.514
ENSG00000160058	29358	0.479
ENSG00000160062	140885	0.444
ENSG00000160072	37526	0.569
ENSG00000160075	33210	0.539
ENSG00000160087	19943	0.563
ENSG00000160094	44147	0.505
ENSG00000160097	10214	0.54
ENSG00000160111	133864	0.502
ENSG00000160113	13458	0.58
ENSG00000160124	23639	0.392
ENSG00000160131	12180	0.404
ENSG00000160145	687495	0.428
ENSG00000160172	13570	0.53
ENSG00000160179	97556	0.51
ENSG00000160190	81809	0.487
ENSG00000160193	36510	0.537
ENSG00000160194	30020	0.467
ENSG00000160199	59046	0.471
ENSG00000160200	23172	0.588
ENSG00000160201	14623	0.436
ENSG00000160207	130303	0.43
ENSG00000160208	36529	0.475
ENSG00000160209	43211	0.573
ENSG00000160211	16182	0.563
ENSG00000160213	2711	0.552
ENSG00000160214	14566	0.571
ENSG00000160216	122360	0.516
ENSG00000160218	94227	0.46
ENSG00000160219	76332	0.408
ENSG00000160221	12112	0.585
ENSG00000160223	14113	0.576
ENSG00000160226	10459	0.604
ENSG00000160233	3347	0.607
ENSG00000160256	36934	0.567
ENSG00000160271	66195	0.582
ENSG00000160282	19306	0.59
ENSG00000160284	23312	0.508
ENSG00000160285	40379	0.535
ENSG00000160293	230431	0.563
ENSG00000160294	50189	0.472
ENSG00000160298	23442	0.521
ENSG00000160299	121647	0.516
ENSG00000160305	111065	0.449
ENSG00000160307	6505	0.448
ENSG00000160310	29649	0.452
ENSG00000160323	45050	0.551
ENSG00000160325	10823	0.58
ENSG00000160326	8061	0.613
ENSG00000160336	26289	0.442
ENSG00000160345	5339	0.54
ENSG00000160352	42931	0.387
ENSG00000160360	32126	0.66
ENSG00000160392	27468	0.501
ENSG00000160401	7033	0.558
ENSG00000160404	3826	0.6
ENSG00000160408	20027	0.535
ENSG00000160410	14549	0.535
ENSG00000160439	41969	0.512
ENSG00000160445	42147	0.512
ENSG00000160446	3260	0.614
ENSG00000160447	18398	0.577
ENSG00000160460	110218	0.511
ENSG00000160469	30464	0.545
ENSG00000160539	19569	0.546
ENSG00000160551	160979	0.409
ENSG00000160563	219778	0.44
ENSG00000160570	21560	0.527
ENSG00000160584	254876	0.405
ENSG00000160602	13953	0.516
ENSG00000160606	2584	0.612
ENSG00000160613	27024	0.505
ENSG00000160633	45444	0.473
ENSG00000160678	3641	0.548
ENSG00000160679	12325	0.444
ENSG00000160685	15896	0.604
ENSG00000160688	9818	0.512
ENSG00000160691	12186	0.538
ENSG00000160695	14196	0.488
ENSG00000160703	15289	0.537
ENSG00000160710	45923	0.453
ENSG00000160712	64258	0.491
ENSG00000160714	10070	0.502
ENSG00000160741	10985	0.533
ENSG00000160746	255743	0.402
ENSG00000160752	11919	0.505
ENSG00000160753	10270	0.581
ENSG00000160766	24826	0.51
ENSG00000160767	8279	0.574
ENSG00000160781	4797	0.61
ENSG00000160783	27090	0.489
ENSG00000160785	18858	0.483
ENSG00000160789	57512	0.53
ENSG00000160796	30022	0.599
ENSG00000160799	60281	0.514
ENSG00000160801	26054	0.58
ENSG00000160803	18425	0.506
ENSG00000160808	5617	0.571
ENSG00000160813	1183	0.678
ENSG00000160818	7180	0.485
ENSG00000160828	NA	NA
ENSG00000160867	11206	0.601
ENSG00000160870	30160	0.414
ENSG00000160877	22860	0.556
ENSG00000160888	4437	0.623
ENSG00000160908	7024	0.484
ENSG00000160917	18434	0.532
ENSG00000160932	3926	0.633
ENSG00000160948	4928	0.632
ENSG00000160949	15650	0.629
ENSG00000160953	23455	0.527
ENSG00000160957	6544	0.655
ENSG00000160959	7211	0.633
ENSG00000160961	31160	0.486
ENSG00000160972	12088	0.616
ENSG00000160991	23292	0.543
ENSG00000160993	8655	0.544
ENSG00000160999	33774	0.573
ENSG00000161010	22207	0.496
ENSG00000161011	31690	0.55
ENSG00000161013	9355	0.641
ENSG00000161016	2652	0.599
ENSG00000161021	63662	0.494
ENSG00000161036	8223	0.611
ENSG00000161040	261981	0.398
ENSG00000161048	49985	0.403
ENSG00000161057	21872	0.384
ENSG00000161091	19309	0.593
ENSG00000161103	NA	NA
ENSG00000161133	NA	NA
ENSG00000161179	1963	0.674
ENSG00000161202	18031	0.528
ENSG00000161203	9246	0.54
ENSG00000161204	7933	0.518
ENSG00000161217	49332	0.447
ENSG00000161243	8536	0.528
ENSG00000161249	16442	0.54
ENSG00000161265	2909	0.56
ENSG00000161267	63541	0.485
ENSG00000161277	19778	0.49
ENSG00000161281	1948	0.631
ENSG00000161298	23781	0.417
ENSG00000161326	23638	0.463
ENSG00000161328	17395	0.6
ENSG00000161381	89930	0.508
ENSG00000161395	16936	0.543
ENSG00000161513	10538	0.581
ENSG00000161526	40741	0.486
ENSG00000161533	37927	0.443
ENSG00000161542	43412	0.458
ENSG00000161544	10558	0.586
ENSG00000161547	3297	0.493
ENSG00000161551	35090	0.408
ENSG00000161558	32041	0.516
ENSG00000161583	NA	NA
ENSG00000161618	17833	0.568
ENSG00000161638	24006	0.524
ENSG00000161642	22164	0.54
ENSG00000161647	32381	0.49
ENSG00000161653	4405	0.635
ENSG00000161654	32985	0.468
ENSG00000161664	8378	0.54
ENSG00000161671	6952	0.606
ENSG00000161677	5359	0.617
ENSG00000161681	55112	0.557
ENSG00000161682	10135	0.602
ENSG00000161692	43661	0.479
ENSG00000161714	20884	0.575
ENSG00000161791	69474	0.481
ENSG00000161800	36363	0.418
ENSG00000161813	79197	0.41
ENSG00000161835	8945	0.586
ENSG00000161847	17426	0.569
ENSG00000161888	8654	0.525
ENSG00000161896	25320	0.534
ENSG00000161904	17917	0.532
ENSG00000161912	39801	0.406
ENSG00000161914	22497	0.557
ENSG00000161920	2174	0.523
ENSG00000161921	6396	0.515
ENSG00000161955	3317	0.574
ENSG00000161956	9979	0.512
ENSG00000161958	6660	0.568
ENSG00000161960	NA	NA
ENSG00000161970	5732	0.438
ENSG00000161980	6654	0.495
ENSG00000161981	3841	0.548
ENSG00000161996	18467	0.646
ENSG00000161999	2773	0.651
ENSG00000162004	4299	0.649
ENSG00000162063	29465	0.528
ENSG00000162065	45078	0.567
ENSG00000162066	10593	0.592
ENSG00000162068	2647	0.708
ENSG00000162073	4144	0.641
ENSG00000162076	16188	0.515
ENSG00000162086	13144	0.45
ENSG00000162104	153537	0.472
ENSG00000162105	621882	0.518
ENSG00000162129	142255	0.459
ENSG00000162139	19420	0.426
ENSG00000162144	13536	0.521
ENSG00000162148	9816	0.573
ENSG00000162191	2574	0.528
ENSG00000162194	8953	0.517
ENSG00000162222	10525	0.471
ENSG00000162227	16039	0.518
ENSG00000162231	13367	0.497
ENSG00000162236	25232	0.471
ENSG00000162241	8510	0.594
ENSG00000162244	2315	0.539
ENSG00000162290	64210	0.412
ENSG00000162298	7253	0.574
ENSG00000162300	4181	0.562
ENSG00000162302	13063	0.57
ENSG00000162337	136636	0.546
ENSG00000162341	41723	0.593
ENSG00000162368	45043	0.422
ENSG00000162377	12025	0.466
ENSG00000162378	100883	0.413
ENSG00000162383	55439	0.532
ENSG00000162384	6518	0.469
ENSG00000162385	11719	0.416
ENSG00000162390	92488	0.515
ENSG00000162396	7656	0.499
ENSG00000162402	149008	0.379
ENSG00000162407	84839	0.43
ENSG00000162408	33252	0.478
ENSG00000162409	70019	0.366
ENSG00000162413	12151	0.571
ENSG00000162415	190175	0.404
ENSG00000162419	46876	0.461
ENSG00000162426	19838	0.525
ENSG00000162430	18047	0.568
ENSG00000162433	84597	0.426
ENSG00000162434	133714	0.428
ENSG00000162437	88137	0.372
ENSG00000162441	13652	0.441
ENSG00000162458	29931	0.535
ENSG00000162461	5076	0.59
ENSG00000162482	6224	0.544
ENSG00000162493	34201	0.454
ENSG00000162496	49882	0.513
ENSG00000162512	39168	0.556
ENSG00000162517	15376	0.486
ENSG00000162520	22855	0.471
ENSG00000162521	35064	0.429
ENSG00000162522	33060	0.544
ENSG00000162542	118053	0.49
ENSG00000162545	3845	0.577
ENSG00000162551	69048	0.516
ENSG00000162572	11594	0.659
ENSG00000162576	9087	0.653
ENSG00000162585	23274	0.61
ENSG00000162591	123554	0.624
ENSG00000162595	4837	0.445
ENSG00000162599	385515	0.388
ENSG00000162600	72943	0.367
ENSG00000162601	45337	0.363
ENSG00000162604	44377	0.396
ENSG00000162607	15501	0.395
ENSG00000162613	32611	0.368
ENSG00000162614	55379	0.391
ENSG00000162616	38062	0.372
ENSG00000162618	117047	0.34
ENSG00000162623	33525	0.403
ENSG00000162627	98821	0.361
ENSG00000162630	7884	0.323
ENSG00000162631	341847	0.373
ENSG00000162636	78979	0.391
ENSG00000162639	13239	0.413
ENSG00000162641	147602	0.411
ENSG00000162642	9719	0.397
ENSG00000162643	70829	0.39
ENSG00000162645	44416	0.38
ENSG00000162650	8860	0.565
ENSG00000162654	17803	0.389
ENSG00000162664	33417	0.357
ENSG00000162687	382587	0.338
ENSG00000162688	73940	0.365
ENSG00000162692	19406	0.37
ENSG00000162694	22808	0.381
ENSG00000162695	85680	0.358
ENSG00000162702	3747	0.46
ENSG00000162704	9749	0.385
ENSG00000162714	31424	0.48
ENSG00000162722	39642	0.432
ENSG00000162729	7490	0.586
ENSG00000162733	148020	0.405
ENSG00000162734	10038	0.519
ENSG00000162735	8343	0.462
ENSG00000162736	15680	0.468
ENSG00000162745	40663	0.482
ENSG00000162746	6600	0.539
ENSG00000162755	1988	0.562
ENSG00000162757	2229	0.485
ENSG00000162769	41109	0.403
ENSG00000162772	55444	0.432
ENSG00000162775	7359	0.426
ENSG00000162777	18570	0.495
ENSG00000162783	2342	0.621
ENSG00000162804	95389	0.508
ENSG00000162813	32368	0.403
ENSG00000162814	235790	0.357
ENSG00000162817	8872	0.481
ENSG00000162819	20201	0.372
ENSG00000162825	2320934	0.349
ENSG00000162836	23467	0.441
ENSG00000162849	548142	0.448
ENSG00000162851	25703	0.419
ENSG00000162852	102246	0.413
ENSG00000162869	74624	0.397
ENSG00000162878	10508	0.562
ENSG00000162882	25523	0.49
ENSG00000162885	57277	0.403
ENSG00000162889	49266	0.486
ENSG00000162894	18748	0.48
ENSG00000162909	74426	0.487
ENSG00000162910	2634	0.567
ENSG00000162923	49157	0.377
ENSG00000162924	41427	0.377
ENSG00000162927	77818	0.395
ENSG00000162928	34429	0.397
ENSG00000162929	72164	0.397
ENSG00000162931	8948	0.568
ENSG00000162944	105058	0.409
ENSG00000162946	414459	0.422
ENSG00000162959	171969	0.39
ENSG00000162961	15891	0.438
ENSG00000162971	26826	0.374
ENSG00000162972	8808	0.401
ENSG00000162976	23459	0.497
ENSG00000162980	NA	NA
ENSG00000162994	60013	0.396
ENSG00000162997	2153	0.451
ENSG00000162998	33494	0.367
ENSG00000162999	21436	0.382
ENSG00000163001	25477	0.404
ENSG00000163002	41659	0.379
ENSG00000163006	89629	0.375
ENSG00000163013	15039	0.567
ENSG00000163017	26688	0.451
ENSG00000163026	18091	0.427
ENSG00000163029	136384	0.369
ENSG00000163040	5833	0.616
ENSG00000163041	9296	0.415
ENSG00000163050	90658	0.491
ENSG00000163053	34026	0.429
ENSG00000163067	18882	0.447
ENSG00000163069	17625	0.383
ENSG00000163071	45866	0.402
ENSG00000163072	78801	0.411
ENSG00000163083	5665	0.561
ENSG00000163093	27160	0.402
ENSG00000163104	83685	0.36
ENSG00000163110	216371	0.369
ENSG00000163113	70455	0.422
ENSG00000163125	112052	0.417
ENSG00000163131	35762	0.394
ENSG00000163132	4269	0.57
ENSG00000163138	56626	0.383
ENSG00000163145	106232	0.407
ENSG00000163155	6201	0.461
ENSG00000163156	4276	0.491
ENSG00000163159	13914	0.467
ENSG00000163161	36887	0.462
ENSG00000163162	37495	0.412
ENSG00000163166	45705	0.398
ENSG00000163170	12512	0.504
ENSG00000163171	30654	0.447
ENSG00000163191	4530	0.464
ENSG00000163214	78146	0.415
ENSG00000163219	147212	0.418
ENSG00000163249	44633	0.414
ENSG00000163251	6834	0.496
ENSG00000163257	10104	0.394
ENSG00000163281	24840	0.345
ENSG00000163291	52299	0.359
ENSG00000163297	171707	0.354
ENSG00000163312	48527	0.385
ENSG00000163319	5812	0.377
ENSG00000163320	97917	0.36
ENSG00000163322	24197	0.398
ENSG00000163328	55517	0.392
ENSG00000163344	12277	0.5
ENSG00000163346	12009	0.543
ENSG00000163348	4757	0.538
ENSG00000163349	48496	0.398
ENSG00000163354	15255	0.537
ENSG00000163359	90196	0.445
ENSG00000163364	7994	0.375
ENSG00000163374	125933	0.45
ENSG00000163376	12906	0.367
ENSG00000163378	38407	0.415
ENSG00000163382	5044	0.532
ENSG00000163386	1258634	0.379
ENSG00000163389	25770	0.412
ENSG00000163393	93557	0.395
ENSG00000163394	9025	0.429
ENSG00000163399	32393	0.439
ENSG00000163412	75485	0.422
ENSG00000163428	24611	0.39
ENSG00000163430	56858	0.44
ENSG00000163431	50133	0.485
ENSG00000163444	16664	0.414
ENSG00000163453	79315	0.425
ENSG00000163462	12027	0.579
ENSG00000163463	3921	0.502
ENSG00000163466	37255	0.443
ENSG00000163468	29455	0.452
